"cluster","primary_keyword","secondary_keywords","intent","serp_page_type","target_url","url_state","decision","monetization_route","medical_review_level","serp_research_status","semrush_status","notes"
"brand-marketplace","שירותי בריאות פרטיים","בריאות פרימיום|רפואה פרטית בישראל","commercial","marketplace-home","/","existing","keep-improve","multi-route","high","pending","blocked-connector","Homepage owns the marketplace proposition; do not make it a generic magazine."
"aesthetic-medicine","רפואה אסתטית","טיפולים אסתטיים|אסתטיקה רפואית","commercial-local","pillar-directory","/aesthetic-medicine-treatments/","existing","keep-improve","provider-match","high","sampled-2026-07-10","blocked-connector","Observed provider, clinic, and local-pack intent."
"aesthetic-medicine","בוטוקס","טיפול בוטוקס|הזרקת בוטוקס","mixed","treatment-guide","/botox/","new","create","provider-match","high","sampled-2026-07-10","blocked-connector","Separate from price because sampled SERPs differ; medical-use ambiguity must be handled."
"aesthetic-medicine","בוטוקס מחיר","מחיר בוטוקס 3 אזורים|כמה עולה בוטוקס","commercial","price-guide","/botox-price/","existing","keep-improve","quote-request","high","sampled-2026-07-10","blocked-connector","Price SERP is materially different from general Botox."
"aesthetic-medicine","חומצה היאלורונית","הזרקת חומצה היאלורונית|חומרי מילוי","commercial-informational","treatment-guide","/hyaluronic-acid/","new","hold","provider-match","high","pending","blocked-connector","Audit legacy posts before creation."
"aesthetic-medicine","חומצה היאלורונית מחיר","מחיר מזרק חומצה היאלורונית|מילוי קמטים מחיר","commercial","price-guide","/hyaluronic-acid-price/","existing","keep-improve","quote-request","high","pending","blocked-connector","Validate SERP separation from general treatment."
"aesthetic-medicine","עיבוי שפתיים","מילוי שפתיים|חומצה בשפתיים","commercial","treatment-guide","/lip-fillers/","new","hold","provider-match","high","pending","blocked-connector","Create only if SERP differs from hyaluronic-acid guide."
"aesthetic-medicine","פיסול פנים","קו לסת|עיצוב סנטר|עיצוב עצמות לחיים","commercial","treatment-guide","/facial-contouring/","new","hold","provider-match","high","pending","blocked-connector","Needs intent and overlap test."
"skin","טיפולי עור פרטיים","קליניקה לטיפולי עור|רופא עור פרטי אסתטיקה","commercial-local","pillar","/skin-treatments-private/","existing","keep-improve","provider-match","high","pending","blocked-connector","Existing hub."
"skin","טיפול בפיגמנטציה","הסרת כתמי עור|פיגמנטציה בפנים","mixed","treatment-guide","/pigmentation-treatment/","new","hold","provider-match","high","pending","blocked-connector","Needs dermatologist evidence and SERP split."
