competitor,domain,country,archetype,audiences,scale_metric,scale_source,SEO_model,product_capabilities,account_capabilities,provider_capabilities,commerce_capabilities,AI_capabilities,3D_capabilities,trust_model,monetization,strengths,weaknesses,hea_lth_action,sources
Hea-lth.co.il (current baseline),hea-lth.co.il,Israel,"Emerging premium medical knowledge, coordination and marketplace platform","Israeli consumers/patients; future professionals, clinics and suppliers","DATA REQUIRED — GSC, analytics, indexed URLs, provider/supplier inventory and revenue not supplied",OWNER DATA REQUIRED; public site spot review only,"Current public surface includes private-care, aesthetics, price and provider-index pages; complete taxonomy and acquisition mix DATA REQUIRED","Public education/decision pages, coordination CTAs and developing provider index observed; full functionality DATA REQUIRED",DATA REQUIRED,"Developing provider/clinic index visible; actual verified inventory, availability and professional tooling DATA REQUIRED",DATA REQUIRED; no B2C/B2B marketplace capability claimed from Wave 0 spot review,DATA REQUIRED; no production clinical AI assumed,DATA REQUIRED,"Emergency/non-diagnostic disclaimers observed; named reviewer, provider-verification and price-methodology systems require verification","DATA REQUIRED — owner contracts, revenue and funnel data not supplied",Existing domain/URL history; relevant premium-health seed; broad national ambition; controlled-stack preference,"Verified supply, reviewer identity/capacity, source/claim ledger, price method, availability, contracts and metrics remain unverified",Preserve URLs; instrument and govern; verify supply and methodology before mass expansion,SRC-0002–SRC-0015; SRC-0038–SRC-0048 owner data required
Mayo Clinic,mayoclinic.org,United States,Medical knowledge + health system,Patients; caregivers; clinicians,Large authoritative condition/test/treatment library; health-system brand acquisition,DATA REQUIRED unless explicitly cited in sources,Condition-first taxonomy; strong brand and internal links,Educational articles; symptom/condition/test/treatment content; care entry points,Patient account exists in health-system context; exact public-content integration DATA REQUIRED,Health-system clinicians and locations; not primarily an open marketplace,Limited retail/transaction role on public knowledge surface,AI/navigation capabilities DATA REQUIRED,3D/visual capabilities DATA REQUIRED,Named medical institution; editorial/clinical governance DATA REQUIRED for template-level audit,Care delivery; philanthropy; services; other models DATA REQUIRED,Brand authority; clinical depth; coherent patient education,Not a neutral multi-provider marketplace; localization to Israel absent,"Match evidence clarity and entity coverage; avoid copying prose; exceed with Hebrew localization, transparent marketplace separation and structured comparisons",Wave 2 official-source audit pending
Cleveland Clinic,clevelandclinic.org,United States,Medical knowledge + health system,Patients; caregivers; clinicians,Large authoritative health library and care network; exact current scale DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,Condition/procedure content integrated with care discovery,Health library; treatment and service pages; provider/location discovery,Health-system patient account; exact public features DATA REQUIRED,Owned clinician/network directory and appointments,No open supplier marketplace observed in Wave 0,AI capabilities DATA REQUIRED,Visual/3D capabilities DATA REQUIRED,Institutional brand; clinical authorship/review model DATA REQUIRED,Care delivery and health-system revenue,High trust; practical content; provider connection,Owned-network bias; not a neutral Israeli marketplace,"Match practical formats and provider bridges; exceed with methodology, multi-provider transparency and Hebrew entity graph",Wave 2 official-source audit pending
WebMD,webmd.com,United States,Consumer medical publisher,Consumers; advertisers; professionals,Scale DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,"High-volume condition, symptom, drug, tool and news taxonomy",Medical content; symptom/drug tools; newsletters; video; community features DATA REQUIRED,Consumer accounts/newsletters DATA REQUIRED,Provider discovery capabilities DATA REQUIRED,Advertising and partner commerce/referral DATA REQUIRED,AI capabilities DATA REQUIRED,3D capabilities DATA REQUIRED,Editorial and medical review policies require official audit,Advertising; sponsorship; lead/referral and data products DATA REQUIRED,Broad coverage and consumer familiarity,Advertising conflict risk; variable depth; U.S.-centric,"Match breadth only after governance capacity; exceed disclosure, source ledger, Israeli relevance and commercial separation",Wave 2 official-source audit pending
Healthline,healthline.com,United States,Consumer medical publisher,Consumers; advertisers,Scale DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,"Topic-cluster SEO; condition, wellness and product-review content",Health education; guides; newsletters; product reviews; tools DATA REQUIRED,Account/newsletter features DATA REQUIRED,Provider marketplace role DATA REQUIRED,"Affiliate, advertising and commerce/referral surfaces DATA REQUIRED",AI capabilities DATA REQUIRED,3D capabilities DATA REQUIRED,Editorial/medical-review process requires official audit,Advertising; affiliate; sponsorship; other models DATA REQUIRED,Accessible writing; strong content packaging,Commercial/editorial boundary and product-review methodology require scrutiny; non-Israeli,"Match readability and visual explanation; exceed source granularity, Hebrew clinical terminology and marketplace verification",Wave 2 official-source audit pending
Verywell Health,verywellhealth.com,United States,Consumer medical publisher,Consumers; caregivers; advertisers,Scale DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,Topic-cluster SEO and expert-reviewed consumer content,Conditions; treatments; drugs; tests; wellness content,Newsletter/account capabilities DATA REQUIRED,No primary open-booking role established in Wave 0,Advertising/affiliate capabilities DATA REQUIRED,AI capabilities DATA REQUIRED,3D capabilities DATA REQUIRED,Editorial and reviewer policies require official audit,Advertising and affiliate DATA REQUIRED,"Readable, structured consumer education",U.S.-centric; limited transaction/supply role,Match clear structure; exceed with Israel-specific payer/provider/product data and claim ledger,Wave 2 official-source audit pending
MSD Manuals,msdmanuals.com,United States / global,Professional and consumer medical reference,Consumers; clinicians,Global medical reference; exact scale DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,Reference taxonomy; professional/consumer versions,"Condition, symptom, test, treatment and drug reference",Account capabilities DATA REQUIRED,No open provider marketplace role established,No broad consumer marketplace role established,AI capabilities DATA REQUIRED,Media/3D capabilities DATA REQUIRED,Medical-reference publisher; authorship/update model to audit,Pharmaceutical-company-supported reference; exact model DATA REQUIRED,Structured clinical reference and dual audiences,Less commerce/decision support; licensing/translation constraints possible,Study dual-audience architecture; do not imitate clinical prose; add Israeli service and decision layers,Wave 2 official-source audit pending
NHS,nhs.uk,United Kingdom,Public health-system knowledge and navigation,Public; patients; caregivers,National public-service reach; exact digital scale DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,Task-based public-health navigation and service discovery,Conditions; medicines; tests; services; urgent-care routing; self-help tools DATA REQUIRED,Public service accounts/integrations DATA REQUIRED,"Public service and provider navigation, not a commercial marketplace",No ordinary commercial monetization,AI capabilities DATA REQUIRED,3D capabilities DATA REQUIRED,Government/public-health authority; governance and sourcing to audit,Publicly funded,Clear safety routing; public-service trust; accessible task design,UK-specific system; no commercial marketplace pattern,Match urgent-intent safeguards and clarity; localize to Israeli system; keep emergency paths free of commercial pressure,Wave 2 official-source audit pending
MedlinePlus,medlineplus.gov,United States,Government medical knowledge,Public; patients; caregivers,Large federal reference; exact scale DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,Entity/reference taxonomy with authoritative outbound sources,Health topics; drugs/supplements; tests; genetics; videos,No major consumer transaction account role established,No provider marketplace role,No commercial marketplace,AI capabilities DATA REQUIRED,Visual capabilities DATA REQUIRED,U.S. National Library of Medicine; authoritative-source model,Publicly funded,Source authority; neutral educational orientation,U.S.-specific; limited provider/price/commerce journeys,Match source transparency and neutral education; exceed with Hebrew localization and governed commercial pathways,Wave 2 official-source audit pending
Zocdoc,zocdoc.com,United States,Provider discovery and booking marketplace,Patients; doctors; practices,DATA REQUIRED,DATA REQUIRED unless explicitly cited in sources,"Specialty, reason, location and appointment-intent landing pages; brand and paid acquisition",Provider search; filters; ratings; insurance; appointment slots; booking,Patient account; booking management DATA REQUIRED,"Provider profiles, practice tools, scheduling/availability integrations DATA REQUIRED",No broad medical product commerce role established,AI/navigation capabilities DATA REQUIRED,No core 3D role established,"Provider verification, review eligibility and ranking rules require official audit",Provider-paid marketplace; exact pricing and fee structure DATA REQUIRED,High-intent availability-led conversion and structured provider inventory,U.S. payer/system context; incentives and ranking transparency require scrutiny,"Match availability and structured search only with verified supply; exceed sponsor separation, Israeli license verification and response-quality controls",SRC-0030 discovery only; replace with official sources in Wave 2
