cluster,primary_keyword,secondary_keywords,intent,serp_page_type,target_url,url_state,decision,monetization_route,medical_review_level,serp_research_status,semrush_status,notes
Medical aesthetics,רפואה אסתטית,טיפולים אסתטיים,Treatment/procedure education; Treatment/procedure education + provider discovery,Authority hub / decision guide,/aesthetic-medicine-treatments/,existing,keep-improve,Provider discovery; consultation request; Provider discovery; consultation request; labeled sponsorship,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","2 seed queries are provisionally consolidated on this URL. Preservation-first: no slug/canonical/redirect change before crawl, GSC, backlinks and content-equivalence review. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Medical aesthetics,בוטוקס,בוטוקס מחיר; בוטוקס במצח; בוטוקס בין הגבות; בוטוקס בצידי העיניים,"Price, cost and financing; Treatment/procedure education; Treatment/procedure education + provider discovery",Integrated decision + price guide,/botox-price/,existing,keep-improve,Provider discovery; consultation request; Qualified lead or consultation; price-observation utility,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","5 seed queries are provisionally consolidated on this URL. Manual review required for price, risk, recovery, provider and broad-treatment intent separation. Preservation-first: no slug/canonical/redirect change before crawl, GSC, backlinks and content-equivalence review. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Medical aesthetics,חומצה היאלורונית,חומצה היאלורונית מחיר; הזרקת חומצה היאלורונית,"Price, cost and financing; Treatment/procedure education; Treatment/procedure education + provider discovery",Integrated decision + price guide,/hyaluronic-acid-fillers/,new,hold,Consultation; price observation; Provider discovery; consultation request,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Wave 0 source decision was a create candidate. Held until the URL inventory, localized SERP overlap, GSC, Semrush, backlink, and medical-governance gates pass. 3 seed queries are provisionally consolidated on this URL. Manual review required for price, risk, recovery, provider and broad-treatment intent separation. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Medical aesthetics,מילוי שפתיים,מילוי שפתיים מחיר,"Price, cost and financing; Treatment/procedure education + provider discovery",Integrated decision + price guide,/lip-fillers/,new,hold,Consultation; price observation; Provider discovery; consultation request,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Wave 0 source decision was a create candidate. Held until the URL inventory, localized SERP overlap, GSC, Semrush, backlink, and medical-governance gates pass. 2 seed queries are provisionally consolidated on this URL. Manual review required for price, risk, recovery, provider and broad-treatment intent separation. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Medical aesthetics,פיסול אף ללא ניתוח,NONE IN WAVE 0 SEED,Treatment/procedure education + alternatives,Medical education / treatment decision page,/non-surgical-rhinoplasty/,new,hold,Provider discovery; consultation request,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Wave 0 source decision was a create candidate. Held until the URL inventory, localized SERP overlap, GSC, Semrush, backlink, and medical-governance gates pass. Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Medical aesthetics,סקולפטרה,NONE IN WAVE 0 SEED,Treatment/product education,Medical education / treatment decision page,/sculptra/,new,hold,Provider discovery; consultation request,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Wave 0 source decision was a create candidate. Held until the URL inventory, localized SERP overlap, GSC, Semrush, backlink, and medical-governance gates pass. Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Medical aesthetics,רדיאס,NONE IN WAVE 0 SEED,Treatment/product education,Medical education / treatment decision page,/radiesse/,new,hold,Provider discovery; consultation request,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Wave 0 source decision was a create candidate. Held until the URL inventory, localized SERP overlap, GSC, Semrush, backlink, and medical-governance gates pass. Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Medical aesthetics,רופא אסתטיקה,מנתח פלסטי; רופא עור פרטי; רופא עור פרטי מחיר; אינדקס רופאים,Price + provider discovery; Provider discovery,Provider/clinic listing or discovery page,/doctor-clinic-index/,existing,keep-improve,Verified provider discovery; consultation request; Verified provider discovery; labeled sponsorship; Verified provider discovery; price observation; Verified specialist discovery; appointment request; Verified specialist discovery; consultation request,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","5 seed queries are provisionally consolidated on this URL. Manual review required for price, risk, recovery, provider and broad-treatment intent separation. Preservation-first: no slug/canonical/redirect change before crawl, GSC, backlinks and content-equivalence review. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Medical aesthetics,קליניקה לאסתטיקה רפואית,NONE IN WAVE 0 SEED,Provider/clinic discovery,Provider/clinic listing or discovery page,/aesthetic-clinics/,new,hold,Verified clinic discovery; consultation request,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Wave 0 source decision was a create candidate. Held until the URL inventory, localized SERP overlap, GSC, Semrush, backlink, and medical-governance gates pass. Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Medical aesthetics,רפואה אסתטית תל אביב,NONE IN WAVE 0 SEED,Local/city provider discovery,Provider/clinic listing or discovery page,/aesthetic-medicine/tel-aviv/,new,hold,Verified local provider discovery,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Wave 0 source decision was a create candidate. Held until the URL inventory, localized SERP overlap, GSC, Semrush, backlink, and medical-governance gates pass. Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
Medical aesthetics,רפואה אסתטית ירושלים,NONE IN WAVE 0 SEED,Local/city provider discovery,Provider/clinic listing or discovery page,/aesthetic-medicine/jerusalem/,new,hold,Verified local provider discovery,M3,"DATA REQUIRED — Google Israel Hebrew, desktop and mobile, city where relevant, dated capture","DATA REQUIRED — authenticated export; do not infer volume, CPC, KD or ranking","Wave 0 source decision was a create candidate. Held until the URL inventory, localized SERP overlap, GSC, Semrush, backlink, and medical-governance gates pass. Single seed intent; neighboring-query overlap is not yet measured. Use the ≥50% / ≤30% / 31–49% top-ten overlap heuristic only as an internal triage rule, not a Google rule."
